Season,Race,Driver,Team,Stint,Compound,NumLaps,DegRate,Intercept,MeanLapTime,WetAffected
season2023,Austin,ALB,Williams,1.0,MEDIUM,8,-0.17697619047619192,106.06479761904765,104.258,False
season2023,Austin,ALB,Williams,2.0,HARD,17,0.06051225490195948,103.68781862745098,103.19294117647058,False
season2023,Austin,ALB,Williams,3.0,MEDIUM,25,0.07439153846153977,102.83604923076919,101.95888,False
season2023,Austin,ALO,Aston Martin,1.0,MEDIUM,17,-0.04659313725490628,104.82663725490198,103.81070588235295,False
season2023,Austin,ALO,Aston Martin,2.0,MEDIUM,21,0.051497402597402146,102.75926926406925,101.67223809523809,False
season2023,Austin,BOT,Alfa Romeo,1.0,MEDIUM,8,-0.18667857142856356,105.60460714285715,104.275375,False
season2023,Austin,BOT,Alfa Romeo,2.0,HARD,16,0.0987308823529429,103.39211911764701,103.2575625,False
season2023,Austin,BOT,Alfa Romeo,3.0,HARD,26,0.03839316239316044,104.24460683760688,102.4638076923077,False
season2023,Austin,GAS,Alpine,1.0,MEDIUM,16,0.006525000000003183,103.79894999999992,103.3384375,False
season2023,Austin,GAS,Alpine,2.0,MEDIUM,17,0.09255147058823456,102.91183823529414,102.29735294117647,False
season2023,Austin,GAS,Alpine,3.0,HARD,17,0.030703431372549474,103.3014362745098,101.02347058823528,False
season2023,Austin,HAM,Mercedes,1.0,MEDIUM,18,0.08036532507739495,102.2440529755762,102.51038888888888,False
season2023,Austin,HAM,Mercedes,2.0,HARD,16,0.06442794117647468,102.41787205882346,101.4074375,False
season2023,Austin,HAM,Mercedes,3.0,MEDIUM,17,0.06406372549019262,102.08771568627454,100.08835294117647,False
season2023,Austin,HUL,Haas F1 Team,1.0,HARD,17,-0.06972549019607736,105.38378431372549,104.1365294117647,False
season2023,Austin,HUL,Haas F1 Team,2.0,MEDIUM,13,0.08204395604395591,103.21141758241755,102.38276923076923,False
season2023,Austin,HUL,Haas F1 Team,3.0,MEDIUM,20,0.1511233082706748,101.8105421052632,101.9527,False
season2023,Austin,LEC,Ferrari,1.0,MEDIUM,21,0.07407142857142784,102.76509523809526,102.99395238095241,False
season2023,Austin,LEC,Ferrari,2.0,HARD,32,0.07000934750733043,102.66499266862174,101.66265625,False
season2023,Austin,MAG,Haas F1 Team,1.0,MEDIUM,8,-0.1652499999999982,105.51175,104.300375,False
season2023,Austin,MAG,Haas F1 Team,2.0,HARD,17,0.06562254901960597,104.23371568627452,103.78994117647059,False
season2023,Austin,MAG,Haas F1 Team,3.0,MEDIUM,25,0.10219538461538367,103.39382461538464,102.45956,False
season2023,Austin,NOR,McLaren,1.0,MEDIUM,15,0.08952857142856792,102.19744285714292,102.50819999999999,False
season2023,Austin,NOR,McLaren,2.0,HARD,15,0.1370392857142844,102.0121797619048,101.81553333333332,False
season2023,Austin,NOR,McLaren,3.0,HARD,21,0.0870194805194814,102.36919480519478,100.88342857142858,False
season2023,Austin,PER,Red Bull Racing,1.0,MEDIUM,15,0.0028892857142829753,103.55299642857146,103.08399999999999,False
