dates,closing price,volume
2020-04-14,177.9811553955078,21011800
2020-04-15,176.7824249267578,17423000
2020-04-16,176.06320190429688,23593200
2020-04-17,179.05003356933594,20974800
2020-04-20,178.05108642578125,16110700
2020-04-21,170.6189727783203,24850500
2020-04-22,182.08680725097656,33242000
2020-04-23,184.9337921142578,21426600
2020-04-24,189.86856079101562,28792000
2020-04-27,187.30126953125,29197800
2020-04-28,182.7161407470703,21731000
2020-04-29,193.9841766357422,45954500
2020-04-30,204.4930419921875,46230100
2020-05-01,202.0556182861328,30415600
2020-05-04,205.0424346923828,19250700
2020-05-05,206.8505401611328,21071200
2020-05-06,208.24903869628906,21857000
2020-05-07,211.0360870361328,15152000
2020-05-08,212.12493896484375,12506000
2020-05-11,212.95404052734375,12911900
2020-05-12,209.8773193359375,14704600
2020-05-13,204.88262939453125,20684600
2020-05-14,206.59080505371094,17178900
2020-05-15,210.656494140625,19383200
2020-05-18,212.96405029296875,20151900
2020-05-19,216.65013122558594,31843200
2020-05-20,229.72625732421875,50162900
2020-05-21,231.14474487304688,47782600
2020-05-22,234.66102600097656,33925600
2020-05-26,231.95388793945312,33178300
2020-05-27,228.8971405029297,34697600
2020-05-28,225.22103881835938,29377200
2020-05-29,224.85142517089844,23241500
2020-06-01,231.66419982910156,18223800
2020-06-02,232.4733428955078,20919000
2020-06-03,229.9160614013672,15380300
2020-06-04,226.05015563964844,17041500
2020-06-05,230.52540588378906,16750400
2020-06-08,231.1547393798828,15466500
2020-06-09,238.4170379638672,27462900
2020-06-10,236.47909545898438,20720700
2020-06-11,224.19212341308594,26708200
2020-06-12,228.33773803710938,22091400
2020-06-15,232.25357055664062,15340300
2020-06-16,235.40023803710938,15236700
2020-06-17,235.28036499023438,19578100
2020-06-18,235.68992614746094,15782500
2020-06-19,238.53689575195312,30081300
2020-06-22,238.96646118164062,18917800
2020-06-23,241.98326110839844,24017900
2020-06-24,233.77197265625,20834900
2020-06-25,235.43019104003906,18704300
2020-06-26,215.85098266601562,76343900
2020-06-29,220.40614318847656,58514300
2020-06-30,226.829345703125,33927100
2020-07-01,237.29823303222656,43399700
2020-07-02,233.17259216308594,30633600
2020-07-06,240.02532958984375,26206200
2020-07-07,240.60472106933594,27887800
2020-07-08,243.32183837890625,29791300
2020-07-09,244.24085998535156,22174900
2020-07-10,244.8102569580078,22982700
2020-07-13,238.74668884277344,24674900
2020-07-14,239.4759063720703,23378100
2020-07-15,240.02532958984375,19133600
2020-07-16,240.6746368408203,18880700
2020-07-17,241.77346801757812,18152400
2020-07-20,245.15988159179688,20872200
2020-07-21,241.4937744140625,19364200
2020-07-22,239.61575317382812,15427900
2020-07-23,232.3534698486328,21771800
2020-07-24,230.46548461914062,18325800
2020-07-27,233.2525177001953,13163100
2020-07-28,229.8760986328125,14170100
2020-07-29,233.042724609375,13588300
2020-07-30,234.25144958496094,20615300
2020-07-31,253.40113830566406,53005100
2020-08-03,251.69296264648438,23124900
2020-08-04,249.56521606445312,17183500
2020-08-05,248.85595703125,13050100
2020-08-06,264.99884033203125,45241600
2020-08-07,268.1554870605469,72766400
2020-08-10,262.72125244140625,30248800
2020-08-11,255.85853576660156,28238300
2020-08-12,259.61456298828125,21415700
2020-08-13,261.0230407714844,17374000
2020-08-14,260.9631042480469,14792700
2020-08-17,260.8832092285156,13351100
2020-08-18,262.06195068359375,18690400
2020-08-19,262.3116760253906,23291500
2020-08-20,268.7248840332031,20299700
2020-08-21,266.7270202636719,15538600
2020-08-24,271.10235595703125,23685600
2020-08-25,280.5223693847656,42127200
2020-08-26,303.587890625,69015200
2020-08-27,292.9092102050781,30301300
2020-08-28,293.3487548828125,17157400
2020-08-31,292.8892517089844,17345100
2020-09-01,295.1268615722656,17295900
2020-09-02,302.17938232421875,24341400
2020-09-03,290.8114318847656,32294100
2020-09-04,282.43035888671875,30333700
2020-09-08,270.8725891113281,24864000
2020-09-09,273.4299011230469,22918800
2020-09-10,267.80584716796875,24814700
2020-09-11,266.3274230957031,18913900
2020-09-14,265.8678894042969,24093800
2020-09-15,272.13128662109375,18478500
2020-09-16,263.2406921386719,29183400
2020-09-17,254.5499267578125,31281400
2020-09-18,252.26234436035156,28130800
2020-09-21,247.88697814941406,24709400
2020-09-22,254.47999572753906,30293100
2020-09-23,248.75607299804688,19641300
2020-09-24,249.26551818847656,20006800
2020-09-25,254.5499267578125,18351300
2020-09-28,256.5478210449219,18826300
2020-09-29,261.5125427246094,20200200
2020-09-30,261.6224060058594,20142500
2020-10-01,266.347412109375,20009800
2020-10-02,259.66448974609375,16367600
2020-10-05,264.3695068359375,12822300
2020-10-06,258.3858642578125,18696900
2020-10-07,257.8464050292969,23133400
2020-10-08,263.4804382324219,16312800
2020-10-09,264.16973876953125,14107800
2020-10-12,275.4577331542969,31019300
2020-10-13,275.84735107421875,18063300
2020-10-14,271.53192138671875,15577800
2020-10-15,266.43731689453125,15416100
